Title	Director	Year	Nationality	Run Time	Watched	Views	Comment	
Sherlock Holmes	Guy Ritchie	2009	USA		2/13/2010	1		
Food, Inc.			USA		5/15/2010	1		
Ninja Assassin					6/3/2010	1		
Cube					6/13/2010	1		
Green Zone	Paul Greengrass				6/14/2010	1		
Greenburg					7/8/2010	1		
The Girl Next Door					7/10/2010	1		
Choke	Clark Gregg	2008	USA	92	7/26/2010	1		
Kick-Ass					8/2/2010	1		
Clash of the Titans					8/2/2010	1		
Jennifer's Body					8/3/2010	1		
Obsessed					8/8/2010	1		
The Ghost Writer	Roman Polanski	2010			8/9/2010	1		
Prince of Persia		2010	USA		9/1/2010	1		
Robin Hood	Ridley Scott	2010	USA	155	9/11/2010	1		
The Interpreter					9/26/2010	1		
16 Blocks					10/1/2010	1		
How to Train Your Dragon		2010	USA		10/9/2010	1		
Winter's Bone					10/19/2010	1		
The Social Network	David Fincher	2010			10/3/2010			
Catfish		2010	USA		11/18/2010	1		
Exit Through the Gift Shop					11/20/2010	1		
Due Date		2010	USA		11/27/2010			
Scott Pilgrim		2010	USA		12/4/2010			
Splice		2010			10/5/2010			
Beverly Hills Cop			USA		12/5/2010			
Inception		2010	USA		12/10/2010			
